	             w1      w2	     w3      w4	     w5      w6
H1_3704A	3685.00	3700.00	3700.45	3709.10	3758.00	3764.00
O2_3726A_m	3665.75	3694.26	3716.02	3743.70	3754.88	3767.50
H1_3750A	3663.49	3697.71	3743.70	3755.82	3775.22	3792.04
H1_3771A	3755.82	3763.43	3764.47	3776.58	3778.32	3791.62
H1_3798A	3776.99	3787.91	3788.69	3804.26	3843.10	3858.63
H1_3835A	3803.91	3814.15	3828.48	3844.05	3844.26	3852.83
Ne3_3869A	3800.00	3820.00	3857.89	3880.39	3905.00	3950.00
H1_3889A_m	3806.90	3828.20	3880.39	3899.42	3905.00	3950.00
H1_3970A	3932.80	3948.29	3956.51	3980.74	3984.86	3999.71
He1_4026A	4003.60	4017.49	4018.80	4037.83	4038.20	4051.42
S2_4069A	4046.00	4058.07	4063.78	4075.89	4080.64	4091.21
H1_4102A	4074.51	4086.84	4088.01	4115.69	4116.50	4133.18
H1_4341A	4305.95	4321.72	4325.04	4352.72	4375.04	4386.81
O3_4363A	4297.70	4323.66	4352.72	4373.48	4390.76	4416.20
He1_4471A	4443.57	4457.22	4461.72	4487.67	4490.31	4506.69
Fe3_4658A	4601.29	4619.37	4646.85	4664.15	4759.96	4780.82
He2_4686A	4603.53	4629.11	4674.53	4697.02	4753.23	4776.26
Ar4_4711A_m	4605.00	4635.00	4705.67	4722.97	4755.00	4778.00
Ar4_4740A	4605.87	4635.30	4729.89	4750.65	4757.09	4776.10
H1_4861A	4809.80	4836.10	4840.62	4878.69	4883.13	4908.40
He1_4922A	4889.81	4898.66	4913.29	4930.59	4929.34	4939.71
O3_4959A	4925.25	4940.45	4940.97	4977.31	4976.72	4990.27
O3_5007A	4972.79	4987.02	4977.31	5036.13	5031.60	5043.98
He1_5048A	5027.57	5035.13	5036.13	5051.70	5060.81	5072.90
He1_5876A	5833.00	5851.10	5863.14	5890.83	5893.72	5904.97
O1_6300A	6267.64	6282.94	6290.23	6305.38	6322.77	6334.65
S3_6312A	6267.64	6282.94	6310.23	6315.38	6322.77	6334.65
H1_6563A_b	6438.03	6508.66	6535.10	6600.95	6627.70	6661.82
He1_6678A	6629.20	6656.49	6663.22	6688.54	6691.35	6701.19
S2_6716A_b	6686.70	6698.87	6700.90	6743.91	6750.60	6772.14
He1_7065A	7029.10	7041.64	7055.22	7079.44	7087.49	7104.45
Ar3_7136A	7091.54	7111.04	7115.78	7148.65	7154.48	7174.99
He1_7281A	7241.85	7255.88	7266.30	7299.17	7298.76	7308.89
O2_7319A_m	7288.71	7299.17	7304.26	7345.90	7349.35	7365.31
Ar3_7751A	7707.43	7727.61	7742.09	7762.86	7765.73	7776.38


